date,state,city,place_type,confirmed,deaths,is_last,estimated_population_2019,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-06-06,PB,Riacho de Santo Antônio,city,5,0,True,1948,2512788,256.67351,0.0
2020-06-06,PB,Riacho dos Cavalos,city,2,0,True,8526,2512804,23.45766,0.0
2020-06-06,PB,Rio Tinto,city,95,2,True,24176,2512903,392.95169,0.0211
2020-06-06,PB,Salgadinho,city,8,0,True,3885,2513000,205.92021,0.0
2020-06-06,PB,Salgado de São Félix,city,38,0,True,12140,2513109,313.01483,0.0
2020-06-06,PB,Santa Cecília,city,9,0,True,6558,2513158,137.23696,0.0
2020-06-06,PB,Santa Cruz,city,1,0,True,6583,2513208,15.19064,0.0
2020-06-06,PB,Santa Helena,city,2,0,True,5889,2513307,33.96162,0.0
2020-06-06,PB,Santa Inês,city,2,0,True,3595,2513356,55.63282,0.0
2020-06-06,PB,Santa Luzia,city,81,3,True,15382,2513406,526.58952,0.037
2020-06-06,PB,Santana dos Garrotes,city,2,0,True,7031,2513604,28.44546,0.0
2020-06-06,PB,Santa Rita,city,735,72,True,136586,2513703,538.1225,0.098
2020-06-06,PB,Santa Teresinha,city,17,0,True,4573,2513802,371.74721,0.0
2020-06-06,PB,Santo André,city,1,0,True,2521,2513851,39.6668,0.0
2020-06-06,PB,São Bentinho,city,12,0,True,4529,2513927,264.95915,0.0
2020-06-06,PB,São Bento,city,234,5,True,34031,2513901,687.60836,0.0214
2020-06-06,PB,São Francisco,city,5,0,True,3392,2513984,147.40566,0.0
2020-06-06,PB,São João do Cariri,city,10,0,True,4199,2514008,238.15194,0.0
2020-06-06,PB,São João do Rio do Peixe,city,15,0,True,18034,2500700,83.17622,0.0
2020-06-06,PB,São João do Tigre,city,1,0,True,4422,2514107,22.6142,0.0
2020-06-06,PB,São José da Lagoa Tapada,city,15,0,True,7630,2514206,196.5924,0.0
2020-06-06,PB,São José de Caiana,city,15,0,True,6359,2514305,235.88615,0.0
2020-06-06,PB,São José de Espinharas,city,4,0,True,4682,2514404,85.43358,0.0
2020-06-06,PB,São José de Piranhas,city,9,1,True,20251,2514503,44.44225,0.1111
2020-06-06,PB,São José do Bonfim,city,17,0,True,3557,2514602,477.93084,0.0
2020-06-06,PB,São José do Sabugi,city,79,1,True,4141,2514701,1907.75175,0.0127
2020-06-06,PB,São José dos Cordeiros,city,3,0,True,3628,2514800,82.69019,0.0
2020-06-06,PB,São José dos Ramos,city,21,0,True,5957,2514453,352.52644,0.0
2020-06-06,PB,São Mamede,city,19,1,True,7724,2514909,245.98654,0.0526
2020-06-06,PB,São Miguel de Taipu,city,38,1,True,7368,2515005,515.74376,0.0263
